"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,828,430","±3,263","1,315,899","±31,439","13.4%","±0.3"
"    AGE","","","","","",""
"        Under 18 years","2,075,647","±3,815","377,915","±16,585","18.2%","±0.8"
"            Under 5 years","529,952","±2,474","105,043","±6,666","19.8%","±1.2"
"            5 to 17 years","1,545,695","±4,076","272,872","±12,560","17.7%","±0.8"
"            Related children of householder under 18 years","2,064,482","±4,358","367,918","±16,427","17.8%","±0.8"
"        18 to 64 years","5,914,670","±3,091","758,595","±18,937","12.8%","±0.3"
"            18 to 34 years","2,164,261","±5,265","344,431","±12,115","15.9%","±0.6"
"            35 to 64 years","3,750,409","±5,178","414,164","±11,122","11.0%","±0.3"
"        60 years and over","2,548,170","±10,440","265,386","±8,281","10.4%","±0.3"
"        65 years and over","1,838,113","±2,973","179,389","±7,139","9.8%","±0.4"
"    SEX","","","","","",""
"        Male","4,862,688","±5,875","589,204","±16,279","12.1%","±0.3"
"        Female","4,965,742","±6,133","726,695","±19,695","14.6%","±0.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","7,293,902","±15,038","784,809","±24,145","10.8%","±0.3"
"        Black or African American alone","1,278,921","±13,174","346,648","±17,518","27.1%","±1.3"
"        American Indian and Alaska Native alone","43,903","±4,329","9,664","±2,522","22.0%","±5.1"
"        Asian alone","328,543","±5,858","32,202","±5,089","9.8%","±1.5"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","183,131","±10,664","31,105","±5,151","17.0%","±2.7"
"        Two or more races","697,664","±17,256","110,993","±9,072","15.9%","±1.2"
"        Hispanic or Latino origin (of any race)","558,250","±1,644","101,908","±8,879","18.3%","±1.6"
"        White alone, not Hispanic or Latino","7,165,227","±10,332","756,468","±23,614","10.6%","±0.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","6,883,704","±4,420","765,566","±17,426","11.1%","±0.3"
"            Less than high school graduate","552,319","±11,356","149,480","±7,029","27.1%","±1.2"
"            High school graduate (includes equivalency)","1,915,533","±18,806","288,629","±10,372","15.1%","±0.5"
"            Some college, associate's degree","2,185,549","±22,433","238,652","±9,438","10.9%","±0.4"
"            Bachelor's degree or higher","2,230,303","±19,727","88,805","±4,917","4.0%","±0.2"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","4,993,625","±20,658","370,878","±12,450","7.4%","±0.3"
"            Employed","4,762,922","±21,489","295,053","±10,884","6.2%","±0.2"
"                Male","2,515,765","±13,011","123,241","±6,689","4.9%","±0.3"
"                Female","2,247,157","±15,274","171,812","±8,627","7.6%","±0.4"
"            Unemployed","230,703","±8,518","75,825","±5,595","32.9%","±2.2"
"                Male","125,902","±6,183","37,871","±3,319","30.1%","±2.3"
"                Female","104,801","±5,761","37,954","±3,870","36.2%","±3.3"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","8,002,293","±5,201","975,060","±21,373","12.2%","±0.3"
"            Worked full-time, year-round in the past 12 months","3,367,662","±22,567","77,838","±5,385","2.3%","±0.2"
"            Worked part-time or part-year in the past 12 months","1,832,947","±19,602","307,757","±10,331","16.8%","±0.6"
"            Did not work","2,801,684","±17,751","589,465","±14,688","21.0%","±0.5"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","641,628","±22,112","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,686,138","±36,363","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,104,664","±36,774","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","2,662,612","±38,463","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","2,879,030","±39,476","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,570,887","±43,279","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","5,995,574","±39,604","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,124,403","±35,291","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,132,546","±23,827","533,876","±15,395","25.0%","±0.6"
"    Male","1,048,323","±13,225","234,636","±7,944","22.4%","±0.7"
"    Female","1,084,223","±15,426","299,240","±11,599","27.6%","±0.9"
"    15 years","4,128","±1,276","4,128","±1,276","100.0%","±3.3"
"    16 to 17 years","5,696","±1,172","5,379","±1,120","94.4%","±3.8"
"    18 to 24 years","270,770","±9,214","115,285","±8,024","42.6%","±2.3"
"    25 to 34 years","425,932","±12,373","75,932","±4,824","17.8%","±1.0"
"    35 to 44 years","225,290","±9,591","53,625","±4,268","23.8%","±1.5"
"    45 to 54 years","244,537","±7,623","61,147","±4,458","25.0%","±1.5"
"    55 to 64 years","351,030","±9,970","99,206","±4,958","28.3%","±1.2"
"    65 to 74 years","320,281","±8,100","69,093","±4,139","21.6%","±1.1"
"    75 years and over","284,882","±6,542","50,081","±3,320","17.6%","±1.1"
"    Mean income deficit for unrelated individuals (dollars)","8,566","±135","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","873,703","±17,203","31,797","±3,705","3.6%","±0.4"
"    Worked less than full-time, year-round in the past 12 months","468,740","±12,123","176,501","±8,415","37.7%","±1.4"
"    Did not work","790,103","±13,466","325,578","±10,515","41.2%","±0.9"
"    Population in housing units for whom poverty status is determined","9,794,887","±3,232","1,295,541","±31,270","13.2%","±0.3"
